type,name,res_id,src,value,fuzzy
error,account.budget,0,The code must be unique!,Код должен быть уникальным,0
error,account.budget.line,0,The code must be unique!,Код должен быть уникальным,0
error,account.budget.line,0,The sequence in the budget must be unique!,Код строки должен быть уникальным,0
error,account.budget.line,0,The sequence must be unique!,Нумерация должна быть уникально,0
error,account.budget.template,0,The code must be unique!,Код должен быть уникальным,0
error,account.budget.template.line,0,The code must be unique!,Код должен быть уникальным,0
error,account.budget.type,0,The code must be unique!,Код должен быть уникальным,0
error,ekd.account.budget,0,The code must be unique!,Код должен быть уникальным,0
error,ekd.account.budget.line,0,The sequence in the budget must be unique!,Код строки должен быть уникальным,0
error,ekd.account.budget.template,0,The code must be unique!,Код должен быть уникальным,0
error,ekd.account.budget.template.line,0,The code must be unique!,Код должен быть уникальным,0
error,ekd.account.budget.type,0,The code must be unique!,Код должен быть уникальным,0
field,"account.budget,active",0,Active,Активный,0
field,"account.budget,childs",0,Children,Подчиненый,0
field,"account.budget,code",0,Code,Код,0
field,"account.budget,company",0,Company,Учетная организация,0
field,"account.budget,currency",0,Currency,Валюта,0
field,"account.budget,date_end",0,Expected End,Дата окончания,0
field,"account.budget,date_start",0,Starting Date,Дата начала,0
field,"account.budget,direct_budget",0,Direct Budget,Направление бюджета,0
field,"account.budget,end_date",0,Expected End,Дата окончания,0
field,"account.budget,line_change",0,Budget Line Change,,0
field,"account.budget,lines",0,Lines Budget,Строки бюджета,0
field,"account.budget,name",0,Name,Наименование,0
field,"account.budget,parent",0,Parent,Основной,0
field,"account.budget,project",0,Project,Учет проектов,0
field,"account.budget,rec_name",0,Name,Наименование,0
field,"account.budget,start_date",0,Starting Date,Дата начала,0
field,"account.budget,state",0,State,Состояние,0
field,"account.budget,total_budget",0,Total Budget,Бюджет всего,0
field,"account.budget,total_expense",0,Total expense,Всего расход,0
field,"account.budget,total_income",0,Total Income,Всего приход,0
field,"account.budget,total_marga",0,Marga,Маржа,0
field,"account.budget,type_budget",0,Type Budget,Тип бюджета,0
field,"account.budget.line,amount",0,Amount,Сумма,0
field,"account.budget.line,amount_change",0,Amount Change,сумма изменения,0
field,"account.budget.line,analytic",0,Analytic Account,Статья,0
field,"account.budget.line,budget",0,Budget,Бюджет,0
